dist_km,x_map,y_map,lon_deg,lat_deg,row_pix,col_pix,inside_raster,residual_mGal,modelled_mGal,misfit_mGal
75.66827697800687,-290663.31613029976,-72993.53076462945,119.7693197398996,-2.6412249232528846,275.0983195061014,64.32342899332684,1,40.8875479467038,-62.105336464656155,102.99288441135995
77.65954742479653,-288977.06327124784,-71934.4229856017,119.78450584019062,-2.631675020888768,274.5687656165875,65.16655542285281,1,29.38833202507385,-65.79130988831044,95.17964191338429
79.65081787158618,-287290.8104121959,-70875.31520657394,119.79969162472676,-2.6221249136973106,274.0392117270736,66.00968185237878,1,23.24137623816757,-60.22374225921234,83.4651184973799
81.64208831837584,-285604.557553144,-69816.20742754618,119.81487709471769,-2.6125746021268843,273.50965783755976,66.85280828190474,1,21.48006987774019,-56.92688945996261,78.4069593377028
83.6333587651655,-283918.30469409213,-68757.09964851843,119.83006225137304,-2.603024086625801,272.9801039480459,67.69593471143068,1,14.712780065640333,-59.09486824749934,73.80764831313968
85.62462921195515,-282232.0518350402,-67697.99186949068,119.8452470959024,-2.593473367642316,272.450550058532,68.53906114095662,1,10.780519038236752,-51.02790543558721,61.80842447382396
87.61589965874481,-280545.7989759883,-66638.88409046293,119.8604316295154,-2.583922445624623,271.9209961690181,69.38218757048259,1,7.007952658798021,-44.28195536485317,51.289908023651186
89.60717010553446,-278859.5461169364,-65579.77631143517,119.87561585342156,-2.5743713210208603,271.39144227950425,70.22531400000855,1,-0.8100094563599141,-40.11047681193933,39.300467355579414
91.59844055232412,-277173.29325788445,-64520.66853240741,119.89079976883038,-2.5648199942791075,270.8618883899904,71.06844042953452,1,-12.161624288600391,-18.743355853485607,6.5817315648852155
93.58971099911376,-275487.0403988325,-63461.56075337966,119.90598337695135,-2.5552684658473868,270.33233450047646,71.91156685906049,1,-10.13581789369016,-6.760914708857417,-3.3749031848327427
